date,USD,EUR,KZT,UAH,BYR,AZN,UZS,KGS,GEL
2012-01,32.1961,41.6714,0.21687,4.00549,0.00386,40.9776,0.01794,0.69563,
2012-02,30.3131,39.9678,0.20404,3.7731,0.00362,38.5859,0.01676,0.64805,
2012-03,29.0253,39.1029,0.19648,3.63066,0.0036,36.9702,0.01588,0.62433,
2012-04,29.3282,39.1707,0.19837,3.65165,0.00363,37.337,0.01591,0.62611,
2012-05,29.3627,38.9203,0.19871,3.65476,0.00365,37.3952,0.01582,0.62631,
2012-06,32.9173,40.8076,0.22235,4.07367,0.00394,41.9489,0.01759,0.70133,
2012-07,32.8169,41.323,0.21962,4.06225,0.00393,41.8263,0.01741,0.69576,
2012-08,32.2058,39.5101,0.21467,3.97735,0.0039,41.0474,0.01694,0.68307,
2012-09,32.5669,40.7249,0.21762,4.01095,0.00387,41.5235,0.01695,0.70683,
2012-10,30.9169,39.9786,0.20598,3.79442,0.00366,39.4097,0.01595,0.65822,
2012-11,31.3743,40.6548,0.20805,3.83643,0.00368,40.008,0.01604,0.66562,
2012-12,30.811,40.0759,0.2047,3.76212,0.00359,39.2947,0.01564,0.65198,
2013-01,30.3727,40.2286,0.20211,3.759,0.00353,38.7407,0.0153,0.64075,
2013-02,30.0161,40.7138,0.19898,3.69429,0.00348,38.3005,0.01502,0.62835,
2013-03,30.5124,40.1024,0.20294,3.74477,0.00354,38.9139,0.01535,0.64145,
2013-04,31.0834,39.8023,0.206,3.81626,0.00358,39.6472,0.01521,0.64802,
2013-05,31.0433,40.6264,0.20531,3.82189,0.0036,39.6061,0.01503,0.64443,
2013-06,31.7979,41.4486,0.20992,3.90446,0.00366,40.5689,0.01528,0.6593,
2013-07,32.709,42.718,0.21567,4.01067,0.00372,41.7366,0.0156,0.67246,
2013-08,33.033,43.7786,0.21516,4.0676,0.00371,42.1501,0.01565,0.67587,
2013-09,33.2474,44.0129,0.2169,4.09325,0.00369,42.4182,0.01563,0.68255,
2013-10,32.4839,43.8143,0.21121,3.9658,0.00357,41.4494,0.01525,0.66812,
2013-11,32.0758,43.9406,0.20801,3.91765,0.00347,40.9443,0.01473,0.66132,
2013-12,33.1916,45.187,0.21566,4.0443,0.00355,42.3741,0.01514,0.67807,
2014-01,32.6587,45.0559,0.21176,3.96343,0.00342,41.6884,0.01465,0.66316,
2014-02,35.18,47.6408,0.22623,4.1856,0.00364,44.924,0.01585,0.6978,
2014-03,36.1847,49.5839,0.19635,3.38175,0.00369,46.1952,0.01611,0.69007,
2014-04,35.6053,48.968,0.19554,3.16492,0.0036,45.4613,0.01569,0.65344,
2014-05,35.7227,49.3188,0.19622,3.11989,0.00358,45.6112,0.01569,0.662,
2014-06,34.7352,47.2677,0.1893,2.94366,0.00345,44.3447,0.01513,0.66453,
2014-07,33.8434,46.1827,0.18442,2.88029,0.00332,43.2117,0.01474,0.6499,
2014-08,35.4438,47.4699,0.19364,2.89692,0.00343,45.2609,0.01522,0.68488,
2014-09,36.9316,48.6315,0.20291,2.73567,0.00354,47.0466,0.01589,0.69758,
2014-10,39.3836,49.9817,0.21647,3.0412,0.00371,50.2855,0.01664,0.72237,
2014-11,41.9627,52.7219,0.23201,3.22728,0.00391,53.5375,0.0176,0.73171,
2014-12,49.322,61.4108,0.27254,3.2831,0.00453,62.9911,0.02054,0.8566,
2015-01,56.2376,68.3681,0.30814,3.55525,0.00388,71.6951,0.02322,0.95502,
2015-02,68.9291,78.1105,0.37371,4.32993,0.00441,88.0208,0.02829,1.15247,
2015-03,61.2718,68.6857,0.33066,2.07701,0.0041,58.4766,0.02481,0.99931,
2015-04,57.65,62.0487,0.31045,2.45842,0.00392,54.9833,0.02316,0.90256,
2015-05,51.1388,57.1578,0.27524,2.40653,0.00358,48.764,0.0206,0.85131,
2015-06,52.9716,58.0145,0.28485,2.5105,0.00356,50.478,0.0209,0.91099,
2015-07,55.8413,62.3803,0.29988,2.65911,0.00366,53.2684,0.02186,0.89952,
2015-08,60.3458,66.0002,0.32195,2.85323,0.00396,57.412,0.02344,0.96092,
2015-09,66.7152,74.8478,0.27856,3.06737,0.00384,63.6595,0.02574,1.06591,
2015-10,65.7364,73.776,0.24259,3.08549,0.00372,62.7256,0.02509,0.95497,
2015-11,64.3742,70.7537,0.22986,2.79281,0.00369,61.3497,0.02408,0.93026,
2015-12,66.737,70.6478,0.217,2.80998,0.0037,63.4865,0.02426,0.91383,
2016-01,72.9299,79.6395,0.21382,3.0352,0.0039,46.6871,0.02649,0.94924,
2016-02,75.1723,81.9077,0.20696,2.95954,0.00361,46.9592,0.02674,0.99054,
2016-03,75.8994,83.1023,0.21701,2.80072,0.00353,48.4825,0.02668,1.01036,
2016-04,67.8552,76.9207,0.19741,2.58496,0.00337,44.0018,0.02381,0.94368,
2016-05,64.3334,73.3015,0.19662,2.55291,0.00335,42.7266,0.02219,0.94511,
2016-06,65.9962,73.4406,0.19654,2.62358,0.00333,44.3195,0.02226,0.96629,
2016-07,64.1755,71.2926,0.18945,2.5846,,41.3769,0.02181,0.95094,
2016-08,67.0512,74.3799,0.19027,2.70368,,41.8808,0.02273,0.99222,
2016-09,65.2535,72.6859,0.1917,2.50013,,39.9813,0.02182,0.94709,
2016-10,63.396,70.9338,0.18895,2.44348,,38.8147,0.02106,0.93319,
2016-11,63.2174,69.2863,0.18866,2.47911,,38.1149,0.02038,0.92087,
2016-12,65.2382,69.3417,0.19092,2.54837,,37.2088,0.02071,0.94334,
2017-01,60.6569,63.8111,0.18164,2.23826,,33.6665,0.01893,0.87401,
2017-02,60.0851,64.285,0.18574,2.21634,,31.063,0.01846,0.86911,
2017-03,57.9627,61.3883,0.18538,2.13333,,32.8531,0.01734,0.83698,
2017-04,55.9606,59.8107,0.17843,2.0707,,32.6301,0.01557,0.81567,
2017-05,56.9838,62.044,0.18123,2.14669,,33.4707,0.01538,0.84744,
2017-06,56.6876,63.4107,0.18153,2.15481,,33.3065,0.01474,0.83242,
2017-07,59.3862,67.8072,0.18372,2.28058,,34.89,0.01501,0.85833,
2017-08,60.0633,70.4603,0.18218,2.32308,,35.3127,0.01476,0.86859,
2017-09,58.5454,69.6222,0.17329,2.2767,,34.4182,0.014,0.84861,
2017-10,58.0169,68.4483,0.17008,2.1815,,34.1236,0.00719,0.844,
2017-11,58.1179,67.6434,0.17364,2.16373,,34.187,0.00719,0.84517,
2017-12,58.5814,69.5185,0.17685,2.1565,,34.4901,0.00724,0.84048,
2018-01,57.6002,68.8668,0.17318,2.04955,,33.8228,0.00709,0.83479,
2018-02,56.184,69.9322,0.17416,2.0181,,32.9912,0.00687,0.8208,
2018-03,56.3742,68.9062,0.17596,2.10351,,33.1126,0.0069,0.82721,
2018-04,57.2649,70.5618,0.17983,2.17613,,33.6358,0.00704,0.83569,
2018-05,61.9997,75.2056,0.18955,2.36369,,36.2614,0.00768,0.89935,
2018-06,62.0188,72.5806,0.18828,2.37483,,36.4495,0.00777,0.90604,
2018-07,62.7565,72.9921,0.18384,2.38527,,36.883,0.00797,0.92086,
2018-08,62.3497,73.0738,0.17958,2.31999,,36.644,0.008,0.91489,
2018-09,68.0447,79.4966,0.18713,2.40866,,40.1089,0.00869,0.98544,
2018-10,65.5906,76.2294,0.18063,2.32056,,38.6623,0.00812,0.94866,
2018-11,65.5962,74.4189,0.17775,2.3348,,38.6656,0.00796,0.94112,
2018-12,66.5335,75.7484,0.17817,2.35508,,39.2181,0.00802,0.95252,
2019-01,69.4706,79.4605,0.18057,2.50706,,40.9494,0.00833,0.99457,
2019-02,65.3577,75.2006,0.17187,2.35499,,38.525,0.0078,0.93636,
2019-03,65.8895,74.9691,0.17574,2.45673,,38.8385,0.00785,0.94547,
2019-04,64.7347,72.723,0.1705,2.38008,,38.1578,0.00772,0.92743,
2019-05,64.6314,72.3096,0.16956,2.44839,,38.0969,0.00765,0.92562,
2019-06,65.3834,72.8436,0.17093,2.4333,,38.5402,0.00771,0.93415,
2019-07,63.0756,71.8179,0.16576,2.41161,,37.1798,0.00737,0.90665,
2019-08,63.4172,70.7355,0.16497,2.53276,,37.3812,0.00734,0.90882,
2019-09,66.4897,73.3847,0.17169,2.64585,,39.1923,0.00707,0.95463,
2019-10,64.6407,70.7169,0.1665,2.67497,,38.1024,0.00685,0.92447,
2019-11,63.7748,71.1918,0.16408,2.56843,,37.3651,0.00674,0.91165,
2019-12,64.0817,70.5475,0.16587,2.67341,,37.7729,0.00674,0.91545,
2020-01,61.9057,69.3777,0.16167,2.61205,,36.4902,0.00651,0.88698,
2020-02,63.1385,69.5976,0.16654,2.52296,,37.2169,0.0066,0.90356,
2020-03,66.9909,73.7235,0.17554,2.7257,,39.4877,0.00705,0.9587,
2020-04,77.7325,85.7389,0.17428,2.75213,,45.933,0.00815,0.97226,
2020-05,72.7263,79.1189,0.1713,2.69798,,42.8684,0.00719,0.90942,
2020-06,70.752,78.5489,0.17164,2.62872,,41.7047,0.00698,0.95947,
2020-07,70.4413,78.9929,0.1741,2.64194,,41.4604,0.00692,0.92666,
2020-08,73.4261,87.2889,0.17409,2.65196,,43.2172,0.00719,0.95629,
2020-09,73.8039,87.8266,0.17562,2.67537,,43.4396,0.00719,0.94023,
2020-10,78.7847,92.4302,0.182,2.78337,,46.3712,0.00767,0.98942,
2020-11,79.3323,92.6284,0.18315,2.78971,,46.6935,0.00766,0.97107,
2020-12,76.1999,91.2037,0.17907,2.67321,,44.8499,0.00735,0.89831,
2021-01,73.8757,90.7932,0.17525,2.60711,,43.4819,0.00705,0.89355,
2021-02,76.2527,92.2963,0.17978,2.7094,,44.8809,0.00729,0.89892,
2021-03,74.4373,90.3743,0.17826,2.66296,,43.8124,0.00706,0.87876,
2021-04,75.6373,88.7452,0.1778,2.71942,,44.5187,0.00722,0.89188,
2021-05,74.8451,90.585,0.17418,2.69783,,44.0524,0.00712,0.88233,
2021-06,73.2965,89.3778,0.17091,2.66893,,42.8484,0.00693,0.8762,
2021-07,72.7234,86.5118,0.16978,2.67074,,42.8036,0.00686,0.85869,
2021-08,73.1388,86.9913,0.17189,2.72718,,43.0481,0.00688,0.86235,
2021-09,73.2781,86.666,0.17175,2.72558,,43.1301,0.00688,0.86487,
2021-10,72.6642,84.305,0.17065,2.72887,,42.7688,0.0068,0.85613,
2021-11,70.52,82.2898,0.16494,2.68152,,41.5068,0.0066,0.83136,
2021-12,74.8926,84.8234,0.17044,2.74319,,44.0804,0.00694,0.88288,
2022-01,74.2926,84.0695,0.169,2.72584,,43.7273,0.00686,0.87591,
2022-02,77.4702,86.5032,0.17838,2.71136,,45.5975,0.00716,0.91328,
2022-03,93.5589,104.4772,0.18839,3.10053,,55.067,0.00863,1.10069,
2022-04,83.4097,92.493,0.17735,2.82427,,49.1455,0.00749,0.87363,
2022-05,71.0237,74.5589,0.15836,2.34698,,41.7786,0.00635,0.86507,
2022-06,61.6069,62.7397,0.14415,2.0778,,36.2394,0.0056,0.75582,
2022-07,52.5123,54.6405,0.11291,1.77865,,30.8896,0.00484,0.66053,
2022-08,61.3101,62.5695,0.12806,1.67551,,36.0648,0.00562,0.73713,
2022-09,60.2386,60.2141,0.12869,1.63195,,35.4345,0.00551,0.74646,
2022-10,55.2987,52.7379,0.11596,1.4978,,32.5286,0.00502,0.68971,
2022-11,61.6229,61.1196,0.13195,1.6685,,36.2488,0.00551,0.73796,
2022-12,60.8803,63.0504,0.12997,1.64844,,35.8119,0.00543,0.72092,
2023-01,70.3375,75.6553,0.15258,1.91387,,41.375,0.00627,0.82093,
2023-02,70.5174,76.3004,0.15332,1.90963,,41.4808,0.00624,0.81854,26.701
2023-03,74.8932,79.5134,0.16675,2.03132,,44.0548,0.00662,0.85671,28.5069
2023-04,77.3233,84.1116,0.17258,2.09349,,45.4843,0.00676,0.8845,30.1997
2023-05,80.5093,88.3712,0.17647,2.18067,,47.3584,0.00707,0.9199,32.2153
2023-06,80.9942,86.5009,0.18116,2.19394,,47.6436,0.0071,0.9247,31.249
2023-07,88.3844,96.0195,0.19462,2.39331,,51.9908,0.00769,1.01357,33.7641
2023-08,91.5923,100.9428,0.20551,2.48005,,53.8778,0.0079,1.0443,34.6507
2023-09,96.3344,104.9407,0.20877,2.61303,,56.6673,0.00797,1.09156,36.6402
2023-10,97.4147,103.1631,0.20398,2.63752,,57.3028,0.008,1.09813,36.3054
2023-11,92.0226,97.9345,0.19502,2.53715,,54.1309,0.00753,1.03027,34.022
2023-12,88.5819,96.8827,0.19296,2.43523,,52.107,0.00721,0.99347,32.6521
